invoice_ref,invoice_date,entity,customer,revenue_category,amount_kes,amount_usd,currency,status
INV/SHL/05044,2024-04-16,SHL,Savanna Domestic Wholesale,Domestic,2021110.66,0.0,KES,Partial
INV/SHL/05045,2024-04-19,SHL,EuroHoney GmbH,Export,2439651.73,18343.25,USD,Paid
INV/SHL/05046,2024-04-12,SHL,EuroHoney GmbH,Domestic,2247379.12,0.0,KES,Paid
INV/SHL/05047,2024-04-23,SHL,EuroHoney GmbH,Domestic,2239516.75,0.0,KES,Outstanding
INV/SHL/05048,2024-04-02,SHL,Gulf Foods LLC,Domestic,2299900.2,0.0,KES,Outstanding
INV/AQL/05049,2024-04-22,AQL,Hotel Chain East Africa,Export,1641523.4,12342.28,USD,Partial
INV/AQL/05050,2024-04-19,AQL,Hotel Chain East Africa,Domestic,1467233.58,0.0,KES,Paid
INV/AQL/05051,2024-04-03,AQL,Export Buyers Ltd,Domestic,1587919.5,0.0,KES,Partial
INV/AQL/05052,2024-04-19,AQL,Hotel Chain East Africa,Export,1546881.24,11630.69,USD,Outstanding
INV/AQL/05053,2024-04-08,AQL,AquaPro Processors,Domestic,1437709.3,0.0,KES,Paid
INV/AQL/05054,2024-04-17,AQL,Export Buyers Ltd,Domestic,1661240.99,0.0,KES,Outstanding
INV/AQL/05055,2024-04-02,AQL,Export Buyers Ltd,Domestic,1631562.1,0.0,KES,Paid
INV/GCL/05056,2024-04-30,GCL,Green Invest Fund,Carbon Credits,1328676.4,9990.05,USD,Outstanding
INV/GCL/05057,2024-04-30,GCL,Green Invest Fund,Carbon Credits,1387698.71,10433.82,USD,Partial
INV/GCL/05058,2024-04-25,GCL,CarbonMarket Partners,Carbon Credits,1392832.78,10472.43,USD,Paid
INV/SHL/05059,2024-05-31,SHL,Savanna Domestic Wholesale,Domestic,2887519.56,0.0,KES,Outstanding
INV/SHL/05060,2024-05-03,SHL,NatureMart UK,Domestic,2972428.8,0.0,KES,Paid
INV/SHL/05061,2024-05-15,SHL,Organic Direct Ltd,Domestic,2880331.16,0.0,KES,Paid
INV/SHL/05062,2024-05-30,SHL,Organic Direct Ltd,Export,2868892.91,21570.62,USD,Outstanding
INV/SHL/05063,2024-05-16,SHL,Organic Direct Ltd,Domestic,2828283.51,0.0,KES,Paid
INV/AQL/05064,2024-05-22,AQL,Hotel Chain East Africa,Export,2391770.25,17983.23,USD,Paid
INV/AQL/05065,2024-05-07,AQL,Hotel Chain East Africa,Domestic,2070237.08,0.0,KES,Paid
INV/AQL/05066,2024-05-06,AQL,Export Buyers Ltd,Domestic,2461127.25,0.0,KES,Partial
INV/AQL/05067,2024-05-23,AQL,AquaPro Processors,Domestic,2456241.72,0.0,KES,Paid
INV/GCL/05068,2024-05-17,GCL,Voluntary Carbon Exchange,Carbon Credits,851538.57,6402.55,USD,Paid
INV/GCL/05069,2024-05-31,GCL,CarbonMarket Partners,Carbon Credits,1035068.18,7782.47,USD,Partial
INV/GCL/05070,2024-05-02,GCL,CarbonMarket Partners,Carbon Credits,874491.62,0.0,KES,Outstanding
INV/GCL/05071,2024-05-10,GCL,Green Invest Fund,Carbon Credits,922011.38,0.0,KES,Outstanding
INV/GCL/05072,2024-05-21,GCL,Voluntary Carbon Exchange,Carbon Credits,1016104.3,7639.88,USD,Paid
INV/SHL/05073,2024-06-24,SHL,NatureMart UK,Export,2132423.37,16033.26,USD,Paid
INV/SHL/05074,2024-06-27,SHL,Savanna Domestic Wholesale,Domestic,2498581.63,0.0,KES,Outstanding
INV/SHL/05075,2024-06-19,SHL,Gulf Foods LLC,Domestic,2506474.76,0.0,KES,Partial
INV/SHL/05076,2024-06-10,SHL,Organic Direct Ltd,Domestic,2325589.17,0.0,KES,Paid
INV/SHL/05077,2024-06-13,SHL,Organic Direct Ltd,Export,2046414.99,15386.58,USD,Paid
INV/SHL/05078,2024-06-26,SHL,Gulf Foods LLC,Domestic,2202778.39,0.0,KES,Paid
INV/SHL/05079,2024-06-14,SHL,Organic Direct Ltd,Domestic,2386573.57,0.0,KES,Paid
INV/AQL/05080,2024-06-25,AQL,Export Buyers Ltd,Domestic,2058069.24,0.0,KES,Paid
INV/AQL/05081,2024-06-12,AQL,Retail Net KE,Export,1903367.03,14311.03,USD,Outstanding
INV/AQL/05082,2024-06-20,AQL,Export Buyers Ltd,Domestic,1738641.03,0.0,KES,Paid
INV/AQL/05083,2024-06-12,AQL,Retail Net KE,Domestic,1904337.73,0.0,KES,Outstanding
INV/GCL/05084,2024-06-17,GCL,Green Invest Fund,Carbon Credits,1938425.26,14574.63,USD,Paid
INV/GCL/05085,2024-06-07,GCL,Green Invest Fund,Carbon Credits,2048952.76,0.0,KES,Paid
INV/GCL/05086,2024-06-24,GCL,Green Invest Fund,Carbon Credits,1738896.68,0.0,KES,Paid
INV/SHL/05087,2024-07-03,SHL,Gulf Foods LLC,Domestic,3099386.2,0.0,KES,Paid
INV/SHL/05088,2024-07-05,SHL,Savanna Domestic Wholesale,Export,2945553.27,22147.02,USD,Partial
INV/SHL/05089,2024-07-04,SHL,Organic Direct Ltd,Domestic,3240761.07,0.0,KES,Paid
INV/SHL/05090,2024-07-02,SHL,NatureMart UK,Export,2805977.18,21097.57,USD,Paid
INV/SHL/05091,2024-07-26,SHL,Gulf Foods LLC,Domestic,3009501.99,0.0,KES,Outstanding
INV/SHL/05092,2024-07-22,SHL,EuroHoney GmbH,Export,3219086.34,24203.66,USD,Partial
INV/AQL/05093,2024-07-25,AQL,FreshFish Nairobi,Domestic,847741.62,0.0,KES,Paid
INV/AQL/05094,2024-07-01,AQL,Hotel Chain East Africa,Export,1035481.79,7785.58,USD,Partial
INV/AQL/05095,2024-07-18,AQL,Export Buyers Ltd,Export,979401.04,7363.92,USD,Paid
INV/AQL/05096,2024-07-16,AQL,FreshFish Nairobi,Domestic,839943.24,0.0,KES,Paid
INV/AQL/05097,2024-07-23,AQL,AquaPro Processors,Domestic,892376.72,0.0,KES,Partial
INV/AQL/05098,2024-07-22,AQL,FreshFish Nairobi,Domestic,983963.73,0.0,KES,Paid
INV/AQL/05099,2024-07-11,AQL,Retail Net KE,Domestic,839833.83,0.0,KES,Paid
INV/GCL/05100,2024-07-30,GCL,ClimateBridge AG,Carbon Credits,1370504.9,10304.55,USD,Paid
INV/GCL/05101,2024-07-15,GCL,Voluntary Carbon Exchange,Carbon Credits,1294288.04,0.0,KES,Paid
INV/GCL/05102,2024-07-15,GCL,ClimateBridge AG,Carbon Credits,1383002.51,0.0,KES,Paid
INV/GCL/05103,2024-07-22,GCL,ESG Holdings Ltd,Carbon Credits,1197474.55,0.0,KES,Paid
INV/GCL/05104,2024-07-19,GCL,CarbonMarket Partners,Carbon Credits,1463842.91,11006.34,USD,Paid
INV/SHL/05105,2024-08-09,SHL,NatureMart UK,Export,3619321.4,27212.94,USD,Paid
INV/SHL/05106,2024-08-23,SHL,Savanna Domestic Wholesale,Domestic,3615724.73,0.0,KES,Outstanding
INV/SHL/05107,2024-08-02,SHL,Organic Direct Ltd,Domestic,3444728.43,0.0,KES,Paid
INV/SHL/05108,2024-08-02,SHL,Savanna Domestic Wholesale,Domestic,2961467.27,0.0,KES,Paid
INV/SHL/05109,2024-08-16,SHL,Savanna Domestic Wholesale,Export,3451445.29,25950.72,USD,Outstanding
INV/AQL/05110,2024-08-19,AQL,Retail Net KE,Domestic,1089658.06,0.0,KES,Paid
INV/AQL/05111,2024-08-22,AQL,Hotel Chain East Africa,Domestic,1088930.87,0.0,KES,Paid
INV/AQL/05112,2024-08-05,AQL,AquaPro Processors,Export,1177929.74,8856.61,USD,Outstanding
INV/AQL/05113,2024-08-08,AQL,FreshFish Nairobi,Domestic,1226647.47,0.0,KES,Partial
INV/AQL/05114,2024-08-05,AQL,Export Buyers Ltd,Export,1309824.27,9848.3,USD,Paid
INV/AQL/05115,2024-08-28,AQL,Export Buyers Ltd,Export,1284108.8,9654.95,USD,Outstanding
INV/GCL/05116,2024-08-02,GCL,ESG Holdings Ltd,Carbon Credits,1658187.97,0.0,KES,Paid
INV/GCL/05117,2024-08-13,GCL,Voluntary Carbon Exchange,Carbon Credits,1588726.27,0.0,KES,Paid
INV/GCL/05118,2024-08-19,GCL,ClimateBridge AG,Carbon Credits,1880440.6,0.0,KES,Paid
INV/GCL/05119,2024-08-30,GCL,Voluntary Carbon Exchange,Carbon Credits,1650236.3,0.0,KES,Paid
INV/SHL/05120,2024-09-20,SHL,NatureMart UK,Domestic,4529859.06,0.0,KES,Paid
INV/SHL/05121,2024-09-30,SHL,NatureMart UK,Export,4213319.54,31679.09,USD,Paid
INV/SHL/05122,2024-09-26,SHL,Savanna Domestic Wholesale,Domestic,4907623.84,0.0,KES,Paid
INV/AQL/05123,2024-09-17,AQL,Hotel Chain East Africa,Domestic,1348469.04,0.0,KES,Paid
INV/AQL/05124,2024-09-26,AQL,Retail Net KE,Domestic,1202217.44,0.0,KES,Paid
INV/AQL/05125,2024-09-16,AQL,AquaPro Processors,Domestic,1159419.78,0.0,KES,Paid
INV/AQL/05126,2024-09-02,AQL,Hotel Chain East Africa,Domestic,1344392.13,0.0,KES,Paid
INV/AQL/05127,2024-09-25,AQL,Retail Net KE,Domestic,1336355.13,0.0,KES,Paid
INV/AQL/05128,2024-09-20,AQL,Export Buyers Ltd,Domestic,1218450.32,0.0,KES,Paid
INV/AQL/05129,2024-09-23,AQL,AquaPro Processors,Export,1428004.21,10736.87,USD,Paid
INV/GCL/05130,2024-09-20,GCL,CarbonMarket Partners,Carbon Credits,1759207.48,0.0,KES,Paid
INV/GCL/05131,2024-09-16,GCL,ESG Holdings Ltd,Carbon Credits,1888819.88,0.0,KES,Paid
INV/GCL/05132,2024-09-13,GCL,ClimateBridge AG,Carbon Credits,2124418.22,0.0,KES,Paid
INV/SHL/05133,2024-10-23,SHL,NatureMart UK,Domestic,2758315.94,0.0,KES,Paid
INV/SHL/05134,2024-10-07,SHL,EuroHoney GmbH,Domestic,2906005.01,0.0,KES,Paid
INV/SHL/05135,2024-10-24,SHL,Gulf Foods LLC,Export,2743376.22,20626.89,USD,Partial
INV/SHL/05136,2024-10-24,SHL,Savanna Domestic Wholesale,Domestic,2660095.26,0.0,KES,Paid
INV/AQL/05137,2024-10-17,AQL,FreshFish Nairobi,Export,1568994.52,11796.95,USD,Outstanding
INV/AQL/05138,2024-10-18,AQL,AquaPro Processors,Domestic,1375126.17,0.0,KES,Partial
INV/AQL/05139,2024-10-15,AQL,FreshFish Nairobi,Export,1538672.1,11568.96,USD,Paid
INV/AQL/05140,2024-10-23,AQL,Retail Net KE,Domestic,1314608.69,0.0,KES,Paid
INV/AQL/05141,2024-10-24,AQL,Hotel Chain East Africa,Domestic,1308924.01,0.0,KES,Partial
INV/AQL/05142,2024-10-07,AQL,Hotel Chain East Africa,Domestic,1247532.32,0.0,KES,Outstanding
INV/AQL/05143,2024-10-02,AQL,AquaPro Processors,Domestic,1456882.34,0.0,KES,Paid
INV/GCL/05144,2024-10-08,GCL,CarbonMarket Partners,Carbon Credits,664077.48,4993.06,USD,Paid
INV/GCL/05145,2024-10-23,GCL,CarbonMarket Partners,Carbon Credits,745677.24,5606.6,USD,Paid
INV/GCL/05146,2024-10-29,GCL,ClimateBridge AG,Carbon Credits,681305.4,5122.6,USD,Partial
INV/GCL/05147,2024-10-14,GCL,Green Invest Fund,Carbon Credits,762765.55,5735.08,USD,Partial
INV/GCL/05148,2024-10-29,GCL,Voluntary Carbon Exchange,Carbon Credits,633960.77,4766.62,USD,Paid
INV/GCL/05149,2024-10-07,GCL,Voluntary Carbon Exchange,Carbon Credits,746379.13,0.0,KES,Paid
INV/GCL/05150,2024-10-28,GCL,Voluntary Carbon Exchange,Carbon Credits,731234.22,0.0,KES,Paid
INV/SHL/05151,2024-11-01,SHL,EuroHoney GmbH,Domestic,1521458.92,0.0,KES,Paid
INV/SHL/05152,2024-11-27,SHL,EuroHoney GmbH,Domestic,1546782.82,0.0,KES,Paid
INV/SHL/05153,2024-11-20,SHL,NatureMart UK,Domestic,1518065.37,0.0,KES,Partial
INV/SHL/05154,2024-11-29,SHL,EuroHoney GmbH,Domestic,1471846.97,0.0,KES,Partial
INV/SHL/05155,2024-11-14,SHL,Savanna Domestic Wholesale,Domestic,1302141.1,0.0,KES,Outstanding
INV/SHL/05156,2024-11-19,SHL,NatureMart UK,Domestic,1268294.69,0.0,KES,Paid
INV/SHL/05157,2024-11-04,SHL,Gulf Foods LLC,Export,1572862.12,11826.03,USD,Paid
INV/AQL/05158,2024-11-11,AQL,Retail Net KE,Domestic,1545420.77,0.0,KES,Paid
INV/AQL/05159,2024-11-15,AQL,AquaPro Processors,Export,1610323.99,12107.7,USD,Paid
INV/AQL/05160,2024-11-18,AQL,Retail Net KE,Export,1496666.6,11253.13,USD,Partial
INV/AQL/05161,2024-11-12,AQL,AquaPro Processors,Export,1365258.13,10265.1,USD,Outstanding
INV/AQL/05162,2024-11-12,AQL,FreshFish Nairobi,Export,1368100.37,10286.47,USD,Paid
INV/AQL/05163,2024-11-19,AQL,FreshFish Nairobi,Export,1570285.29,11806.66,USD,Partial
INV/GCL/05164,2024-11-08,GCL,CarbonMarket Partners,Carbon Credits,629294.99,0.0,KES,Paid
INV/GCL/05165,2024-11-11,GCL,Voluntary Carbon Exchange,Carbon Credits,594000.6,0.0,KES,Paid
INV/GCL/05166,2024-11-21,GCL,ESG Holdings Ltd,Carbon Credits,638708.92,0.0,KES,Outstanding
INV/GCL/05167,2024-11-05,GCL,Green Invest Fund,Carbon Credits,573062.49,0.0,KES,Outstanding
INV/GCL/05168,2024-11-12,GCL,Voluntary Carbon Exchange,Carbon Credits,652590.81,0.0,KES,Paid
INV/GCL/05169,2024-11-04,GCL,Voluntary Carbon Exchange,Carbon Credits,604517.39,0.0,KES,Paid
INV/SHL/05170,2024-12-30,SHL,Organic Direct Ltd,Domestic,2901746.75,0.0,KES,Outstanding
INV/SHL/05171,2024-12-05,SHL,Savanna Domestic Wholesale,Domestic,2585068.61,0.0,KES,Outstanding
INV/SHL/05172,2024-12-17,SHL,NatureMart UK,Domestic,2679226.43,0.0,KES,Outstanding
INV/SHL/05173,2024-12-03,SHL,Savanna Domestic Wholesale,Export,2390886.68,17976.59,USD,Partial
INV/SHL/05174,2024-12-25,SHL,Organic Direct Ltd,Export,2430423.81,18273.86,USD,Paid
INV/SHL/05175,2024-12-20,SHL,EuroHoney GmbH,Domestic,2638454.14,0.0,KES,Partial
INV/AQL/05176,2024-12-05,AQL,AquaPro Processors,Domestic,1632103.93,0.0,KES,Paid
INV/AQL/05177,2024-12-16,AQL,FreshFish Nairobi,Domestic,1679368.09,0.0,KES,Partial
INV/AQL/05178,2024-12-10,AQL,Export Buyers Ltd,Domestic,1557998.39,0.0,KES,Partial
INV/AQL/05179,2024-12-03,AQL,AquaPro Processors,Domestic,1716744.87,0.0,KES,Paid
INV/AQL/05180,2024-12-16,AQL,FreshFish Nairobi,Export,1781744.18,13396.57,USD,Outstanding
INV/GCL/05181,2024-12-24,GCL,ESG Holdings Ltd,Carbon Credits,585415.81,4401.62,USD,Paid
INV/GCL/05182,2024-12-16,GCL,Green Invest Fund,Carbon Credits,487958.96,0.0,KES,Paid
INV/GCL/05183,2024-12-13,GCL,ESG Holdings Ltd,Carbon Credits,546005.03,0.0,KES,Partial
INV/GCL/05184,2024-12-24,GCL,Green Invest Fund,Carbon Credits,496557.66,0.0,KES,Partial
INV/GCL/05185,2024-12-13,GCL,ESG Holdings Ltd,Carbon Credits,514609.81,0.0,KES,Outstanding
INV/GCL/05186,2024-12-31,GCL,ClimateBridge AG,Carbon Credits,612644.04,0.0,KES,Paid
INV/GCL/05187,2024-12-30,GCL,ESG Holdings Ltd,Carbon Credits,501503.41,0.0,KES,Paid
INV/SHL/05188,2025-01-29,SHL,Gulf Foods LLC,Export,1071142.67,8303.43,USD,Partial
INV/SHL/05189,2025-01-02,SHL,Organic Direct Ltd,Export,1101811.47,8541.17,USD,Partial
INV/SHL/05190,2025-01-29,SHL,Gulf Foods LLC,Export,1123490.99,8709.23,USD,Partial
INV/SHL/05191,2025-01-30,SHL,Gulf Foods LLC,Export,1086766.8,8424.55,USD,Paid
INV/SHL/05192,2025-01-31,SHL,EuroHoney GmbH,Domestic,945369.65,0.0,KES,Paid
INV/SHL/05193,2025-01-15,SHL,NatureMart UK,Export,1026804.34,7959.72,USD,Outstanding
INV/SHL/05194,2025-01-09,SHL,NatureMart UK,Domestic,1075982.99,0.0,KES,Outstanding
INV/AQL/05195,2025-01-02,AQL,AquaPro Processors,Domestic,1161116.2,0.0,KES,Paid
INV/AQL/05196,2025-01-15,AQL,AquaPro Processors,Export,1242376.74,9630.83,USD,Outstanding
INV/AQL/05197,2025-01-08,AQL,AquaPro Processors,Domestic,1144211.16,0.0,KES,Outstanding
INV/AQL/05198,2025-01-16,AQL,AquaPro Processors,Export,1158243.82,8978.63,USD,Paid
INV/AQL/05199,2025-01-10,AQL,AquaPro Processors,Domestic,1256694.22,0.0,KES,Paid
INV/AQL/05200,2025-01-14,AQL,AquaPro Processors,Export,1174986.15,9108.42,USD,Paid
INV/AQL/05201,2025-01-22,AQL,Hotel Chain East Africa,Domestic,1309458.92,0.0,KES,Paid
INV/GCL/05202,2025-01-13,GCL,Green Invest Fund,Carbon Credits,334550.91,0.0,KES,Paid
INV/GCL/05203,2025-01-24,GCL,ClimateBridge AG,Carbon Credits,343085.06,0.0,KES,Outstanding
INV/GCL/05204,2025-01-07,GCL,ESG Holdings Ltd,Carbon Credits,296971.54,0.0,KES,Paid
INV/GCL/05205,2025-01-31,GCL,ClimateBridge AG,Carbon Credits,294462.66,2282.66,USD,Paid
INV/GCL/05206,2025-01-29,GCL,Green Invest Fund,Carbon Credits,289630.81,0.0,KES,Paid
INV/GCL/05207,2025-01-24,GCL,ESG Holdings Ltd,Carbon Credits,330477.84,2561.84,USD,Paid
INV/SHL/05208,2025-02-28,SHL,Savanna Domestic Wholesale,Export,937101.94,7264.36,USD,Partial
INV/SHL/05209,2025-02-25,SHL,NatureMart UK,Export,792482.75,6143.28,USD,Paid
INV/SHL/05210,2025-02-20,SHL,NatureMart UK,Export,986331.2,7645.98,USD,Paid
INV/SHL/05211,2025-02-07,SHL,Gulf Foods LLC,Export,796850.99,6177.14,USD,Paid
INV/SHL/05212,2025-02-10,SHL,Organic Direct Ltd,Domestic,901706.36,0.0,KES,Outstanding
INV/SHL/05213,2025-02-11,SHL,Gulf Foods LLC,Domestic,937655.83,0.0,KES,Paid
INV/SHL/05214,2025-02-04,SHL,Savanna Domestic Wholesale,Export,972350.53,7537.6,USD,Paid
INV/AQL/05215,2025-02-04,AQL,Hotel Chain East Africa,Domestic,1231617.58,0.0,KES,Paid
INV/AQL/05216,2025-02-10,AQL,Retail Net KE,Domestic,1256257.27,0.0,KES,Paid
INV/AQL/05217,2025-02-10,AQL,Retail Net KE,Domestic,1126291.14,0.0,KES,Paid
INV/AQL/05218,2025-02-27,AQL,FreshFish Nairobi,Export,1259939.4,9766.97,USD,Partial
INV/AQL/05219,2025-02-17,AQL,FreshFish Nairobi,Domestic,1053380.86,0.0,KES,Paid
INV/AQL/05220,2025-02-26,AQL,Retail Net KE,Domestic,1282428.45,0.0,KES,Partial
INV/AQL/05221,2025-02-07,AQL,Retail Net KE,Domestic,1184808.83,0.0,KES,Partial
INV/GCL/05222,2025-02-06,GCL,Green Invest Fund,Carbon Credits,344368.47,2669.52,USD,Paid
INV/GCL/05223,2025-02-13,GCL,CarbonMarket Partners,Carbon Credits,316338.04,0.0,KES,Paid
INV/GCL/05224,2025-02-14,GCL,ClimateBridge AG,Carbon Credits,331026.77,0.0,KES,Partial
INV/GCL/05225,2025-02-19,GCL,CarbonMarket Partners,Carbon Credits,322027.72,2496.34,USD,Outstanding
INV/GCL/05226,2025-02-19,GCL,Voluntary Carbon Exchange,Carbon Credits,337786.08,2618.5,USD,Paid
INV/GCL/05227,2025-02-24,GCL,CarbonMarket Partners,Carbon Credits,287869.18,0.0,KES,Paid
INV/SHL/05228,2025-03-12,SHL,EuroHoney GmbH,Export,1956684.84,15168.1,USD,Outstanding
INV/SHL/05229,2025-03-14,SHL,Savanna Domestic Wholesale,Domestic,2054729.2,0.0,KES,Partial
INV/SHL/05230,2025-03-31,SHL,Organic Direct Ltd,Export,2008760.96,15571.79,USD,Paid
INV/SHL/05231,2025-03-06,SHL,NatureMart UK,Export,2382686.37,18470.44,USD,Outstanding
INV/AQL/05232,2025-03-25,AQL,Hotel Chain East Africa,Domestic,1835379.15,0.0,KES,Paid
INV/AQL/05233,2025-03-14,AQL,FreshFish Nairobi,Domestic,2192760.68,0.0,KES,Paid
INV/AQL/05234,2025-03-07,AQL,AquaPro Processors,Export,1890962.62,14658.62,USD,Outstanding
INV/AQL/05235,2025-03-28,AQL,Hotel Chain East Africa,Domestic,1817857.93,0.0,KES,Paid
INV/AQL/05236,2025-03-24,AQL,Retail Net KE,Domestic,2104830.4,0.0,KES,Partial
INV/GCL/05237,2025-03-28,GCL,CarbonMarket Partners,Carbon Credits,747424.7,0.0,KES,Paid
INV/GCL/05238,2025-03-18,GCL,Voluntary Carbon Exchange,Carbon Credits,719688.22,0.0,KES,Paid
INV/GCL/05239,2025-03-26,GCL,Voluntary Carbon Exchange,Carbon Credits,729566.82,5655.56,USD,Partial
INV/GCL/05240,2025-03-07,GCL,CarbonMarket Partners,Carbon Credits,757878.07,0.0,KES,Paid
INV/SHL/05241,2025-04-30,SHL,Organic Direct Ltd,Domestic,2103365.56,0.0,KES,Paid
INV/SHL/05242,2025-04-23,SHL,Organic Direct Ltd,Domestic,2518020.31,0.0,KES,Outstanding
INV/SHL/05243,2025-04-23,SHL,EuroHoney GmbH,Domestic,2506388.31,0.0,KES,Outstanding
INV/SHL/05244,2025-04-24,SHL,Gulf Foods LLC,Domestic,2331175.87,0.0,KES,Outstanding
INV/SHL/05245,2025-04-17,SHL,Savanna Domestic Wholesale,Domestic,2087752.92,0.0,KES,Paid
INV/AQL/05246,2025-04-02,AQL,Hotel Chain East Africa,Domestic,3707031.98,0.0,KES,Outstanding
INV/AQL/05247,2025-04-24,AQL,Export Buyers Ltd,Domestic,3188504.14,0.0,KES,Paid
INV/AQL/05248,2025-04-22,AQL,FreshFish Nairobi,Domestic,3153073.79,0.0,KES,Paid
INV/GCL/05249,2025-04-07,GCL,ESG Holdings Ltd,Carbon Credits,723336.11,5607.26,USD,Outstanding
INV/GCL/05250,2025-04-17,GCL,Green Invest Fund,Carbon Credits,761110.66,0.0,KES,Outstanding
INV/GCL/05251,2025-04-30,GCL,ESG Holdings Ltd,Carbon Credits,835879.99,0.0,KES,Partial
INV/GCL/05252,2025-04-16,GCL,CarbonMarket Partners,Carbon Credits,809871.8,0.0,KES,Paid
INV/GCL/05253,2025-04-17,GCL,CarbonMarket Partners,Carbon Credits,812735.67,0.0,KES,Partial
INV/SHL/05254,2025-05-01,SHL,NatureMart UK,Domestic,3376032.0,0.0,KES,Paid
