reference,date,entity,account_code,account_name,category,description,debit,credit,currency,amount_kes
JNL/01141,2024-04-01,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — LakeView Processing,336610.34,0.0,KES,336610.34
JNL/01144,2024-04-01,AQL,70000006,Professional Fees,Admin,Professional Fees — ColdChain Express,190906.83,0.0,KES,190906.83
JNL/01147,2024-04-02,AQL,70000009,Insurance,Admin,Insurance — AquaFeed Suppliers,137512.45,0.0,KES,137512.45
JNL/01140,2024-04-03,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — ColdChain Express,1155694.45,0.0,KES,1155694.45
JNL/01138,2024-04-04,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 04/2024,1658748.39,0.0,KES,1658748.39
JNL/01139,2024-04-10,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 04/2024,1044037.21,0.0,KES,1044037.21
JNL/01146,2024-04-10,AQL,70000008,Depreciation,Depreciation,Depreciation — AquaFeed Suppliers,220912.9,0.0,KES,220912.9
JNL/01134,2024-04-16,AQL,31200001,Intercompany — Payable,Intercompany,Intercompany loan received — SHL,0.0,466652.94,KES,466652.94
JNL/01135,2024-04-19,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,5812478.13,KES,5812478.13
JNL/01137,2024-04-19,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 04/2024,4599324.67,0.0,KES,4599324.67
JNL/01136,2024-04-23,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,4097821.86,KES,4097821.86
JNL/01142,2024-04-24,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — Meridian Accountants,581104.86,0.0,KES,581104.86
JNL/01143,2024-04-25,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — ColdChain Express,257749.07,0.0,KES,257749.07
JNL/01145,2024-04-29,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — AquaFeed Suppliers,115923.4,0.0,KES,115923.4
JNL/01180,2024-05-02,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — AquaFeed Suppliers,338540.14,0.0,KES,338540.14
JNL/01186,2024-05-02,AQL,70000009,Insurance,Admin,Insurance — EastAfrica Power,158131.41,0.0,KES,158131.41
JNL/01178,2024-05-03,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 05/2024,810719.17,0.0,KES,810719.17
JNL/01182,2024-05-03,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — AquaFeed Suppliers,211817.17,0.0,KES,211817.17
JNL/01174,2024-05-08,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,4784105.6,KES,4784105.6
JNL/01183,2024-05-08,AQL,70000006,Professional Fees,Admin,Professional Fees — ColdChain Express,195256.75,0.0,KES,195256.75
JNL/01185,2024-05-09,AQL,70000008,Depreciation,Depreciation,Depreciation — EastAfrica Power,255646.94,0.0,KES,255646.94
JNL/01177,2024-05-10,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 05/2024,1516818.88,0.0,KES,1516818.88
JNL/01175,2024-05-13,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3618471.62,KES,3618471.62
JNL/01176,2024-05-21,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 05/2024,3286888.04,0.0,KES,3286888.04
JNL/01184,2024-05-22,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — EastAfrica Power,105239.1,0.0,KES,105239.1
JNL/01179,2024-05-24,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — EastAfrica Power,1152499.21,0.0,KES,1152499.21
JNL/01181,2024-05-24,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — Harbour Finance,576713.53,0.0,KES,576713.53
JNL/01227,2024-06-03,AQL,70000009,Insurance,Admin,Insurance — AquaFeed Suppliers,140396.51,0.0,KES,140396.51
JNL/01215,2024-06-04,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,4631930.86,KES,4631930.86
JNL/01217,2024-06-05,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 06/2024,2687734.06,0.0,KES,2687734.06
JNL/01224,2024-06-07,AQL,70000006,Professional Fees,Admin,Professional Fees — EastAfrica Power,210678.9,0.0,KES,210678.9
JNL/01221,2024-06-13,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — LakeView Processing,368586.96,0.0,KES,368586.96
JNL/01223,2024-06-13,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — ColdChain Express,251444.76,0.0,KES,251444.76
JNL/01225,2024-06-14,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — Harbour Finance,117901.71,0.0,KES,117901.71
JNL/01222,2024-06-17,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — ColdChain Express,540746.01,0.0,KES,540746.01
JNL/01226,2024-06-17,AQL,70000008,Depreciation,Depreciation,Depreciation — EastAfrica Power,209375.81,0.0,KES,209375.81
JNL/01218,2024-06-20,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 06/2024,1260319.42,0.0,KES,1260319.42
JNL/01220,2024-06-25,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — Meridian Accountants,1055821.71,0.0,KES,1055821.71
JNL/01219,2024-06-27,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 06/2024,674175.02,0.0,KES,674175.02
JNL/01214,2024-06-28,AQL,31200001,Intercompany — Payable,Intercompany,Intercompany loan received — SHL,0.0,505848.05,KES,505848.05
JNL/01216,2024-06-28,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3059661.51,KES,3059661.51
JNL/01261,2024-07-01,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — AquaFeed Suppliers,546558.61,0.0,KES,546558.61
JNL/01258,2024-07-02,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 07/2024,588865.81,0.0,KES,588865.81
JNL/01262,2024-07-05,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — LakeView Processing,235901.01,0.0,KES,235901.01
JNL/01254,2024-07-11,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,3741828.2,KES,3741828.2
JNL/01257,2024-07-11,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 07/2024,1019161.33,0.0,KES,1019161.33
JNL/01260,2024-07-11,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — EastAfrica Power,384427.65,0.0,KES,384427.65
JNL/01263,2024-07-11,AQL,70000006,Professional Fees,Admin,Professional Fees — Harbour Finance,183374.44,0.0,KES,183374.44
JNL/01264,2024-07-19,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — ColdChain Express,119201.8,0.0,KES,119201.8
JNL/01256,2024-07-22,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 07/2024,2774003.53,0.0,KES,2774003.53
JNL/01255,2024-07-23,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,2551639.15,KES,2551639.15
JNL/01266,2024-07-24,AQL,70000009,Insurance,Admin,Insurance — EastAfrica Power,132474.92,0.0,KES,132474.92
JNL/01259,2024-07-29,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — AquaFeed Suppliers,1117022.8,0.0,KES,1117022.8
JNL/01265,2024-07-31,AQL,70000008,Depreciation,Depreciation,Depreciation — Meridian Accountants,259286.2,0.0,KES,259286.2
JNL/01295,2024-08-02,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,3929053.23,KES,3929053.23
JNL/01298,2024-08-09,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 08/2024,1159010.07,0.0,KES,1159010.07
JNL/01297,2024-08-12,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 08/2024,3101042.14,0.0,KES,3101042.14
JNL/01301,2024-08-12,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — ColdChain Express,370549.86,0.0,KES,370549.86
JNL/01304,2024-08-13,AQL,70000006,Professional Fees,Admin,Professional Fees — LakeView Processing,182798.13,0.0,KES,182798.13
JNL/01305,2024-08-13,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — AquaFeed Suppliers,103518.82,0.0,KES,103518.82
JNL/01300,2024-08-14,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — LakeView Processing,1107882.9,0.0,KES,1107882.9
JNL/01294,2024-08-19,AQL,31200001,Intercompany — Payable,Intercompany,Intercompany loan received — SHL,0.0,510899.99,KES,510899.99
JNL/01303,2024-08-19,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — ColdChain Express,238842.54,0.0,KES,238842.54
JNL/01307,2024-08-19,AQL,70000009,Insurance,Admin,Insurance — Meridian Accountants,146414.1,0.0,KES,146414.1
JNL/01299,2024-08-21,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 08/2024,655146.33,0.0,KES,655146.33
JNL/01296,2024-08-22,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,2624220.44,KES,2624220.44
JNL/01306,2024-08-29,AQL,70000008,Depreciation,Depreciation,Depreciation — LakeView Processing,233745.83,0.0,KES,233745.83
JNL/01302,2024-08-30,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — AquaFeed Suppliers,486398.06,0.0,KES,486398.06
JNL/01344,2024-09-02,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — Meridian Accountants,104803.7,0.0,KES,104803.7
JNL/01341,2024-09-09,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — Harbour Finance,566532.1,0.0,KES,566532.1
JNL/01339,2024-09-10,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — ColdChain Express,981926.78,0.0,KES,981926.78
JNL/01337,2024-09-13,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 09/2024,1294923.34,0.0,KES,1294923.34
JNL/01345,2024-09-13,AQL,70000008,Depreciation,Depreciation,Depreciation — LakeView Processing,231533.17,0.0,KES,231533.17
JNL/01335,2024-09-16,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3483283.86,KES,3483283.86
JNL/01336,2024-09-18,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 09/2024,3735492.25,0.0,KES,3735492.25
JNL/01340,2024-09-18,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — EastAfrica Power,309641.67,0.0,KES,309641.67
JNL/01343,2024-09-18,AQL,70000006,Professional Fees,Admin,Professional Fees — LakeView Processing,201741.75,0.0,KES,201741.75
JNL/01334,2024-09-19,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,5084332.83,KES,5084332.83
JNL/01346,2024-09-19,AQL,70000009,Insurance,Admin,Insurance — ColdChain Express,144076.82,0.0,KES,144076.82
JNL/01338,2024-09-25,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 09/2024,798415.22,0.0,KES,798415.22
JNL/01342,2024-09-26,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — Meridian Accountants,243339.67,0.0,KES,243339.67
JNL/01379,2024-10-01,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 10/2024,1001538.41,0.0,KES,1001538.41
JNL/01383,2024-10-02,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — EastAfrica Power,205455.78,0.0,KES,205455.78
JNL/01376,2024-10-07,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3558878.93,KES,3558878.93
JNL/01381,2024-10-08,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — ColdChain Express,332880.84,0.0,KES,332880.84
JNL/01375,2024-10-10,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,5293802.19,KES,5293802.19
JNL/01384,2024-10-10,AQL,70000006,Professional Fees,Admin,Professional Fees — Meridian Accountants,218320.9,0.0,KES,218320.9
JNL/01374,2024-10-17,AQL,31200001,Intercompany — Payable,Intercompany,Intercompany loan received — SHL,0.0,463494.94,KES,463494.94
JNL/01380,2024-10-18,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — AquaFeed Suppliers,988587.97,0.0,KES,988587.97
JNL/01385,2024-10-21,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — AquaFeed Suppliers,109926.84,0.0,KES,109926.84
JNL/01386,2024-10-21,AQL,70000008,Depreciation,Depreciation,Depreciation — ColdChain Express,210739.42,0.0,KES,210739.42
JNL/01382,2024-10-23,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — Harbour Finance,565205.98,0.0,KES,565205.98
JNL/01387,2024-10-23,AQL,70000009,Insurance,Admin,Insurance — Harbour Finance,151846.45,0.0,KES,151846.45
JNL/01377,2024-10-29,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 10/2024,3393870.74,0.0,KES,3393870.74
JNL/01378,2024-10-31,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 10/2024,1443363.43,0.0,KES,1443363.43
JNL/01421,2024-11-01,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — Meridian Accountants,515541.25,0.0,KES,515541.25
JNL/01423,2024-11-01,AQL,70000006,Professional Fees,Admin,Professional Fees — EastAfrica Power,194652.54,0.0,KES,194652.54
JNL/01419,2024-11-11,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — AquaFeed Suppliers,1121422.85,0.0,KES,1121422.85
JNL/01424,2024-11-14,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — LakeView Processing,120802.91,0.0,KES,120802.91
JNL/01415,2024-11-15,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3254086.96,KES,3254086.96
JNL/01420,2024-11-19,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — EastAfrica Power,359011.04,0.0,KES,359011.04
JNL/01422,2024-11-19,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — Meridian Accountants,220485.98,0.0,KES,220485.98
JNL/01414,2024-11-20,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,5938542.54,KES,5938542.54
JNL/01418,2024-11-20,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 11/2024,974558.75,0.0,KES,974558.75
JNL/01425,2024-11-20,AQL,70000008,Depreciation,Depreciation,Depreciation — EastAfrica Power,246052.21,0.0,KES,246052.21
JNL/01417,2024-11-21,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 11/2024,1624072.8,0.0,KES,1624072.8
JNL/01416,2024-11-26,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 11/2024,3365251.56,0.0,KES,3365251.56
JNL/01426,2024-11-26,AQL,70000009,Insurance,Admin,Insurance — Meridian Accountants,155146.95,0.0,KES,155146.95
JNL/01454,2024-12-02,AQL,31200001,Intercompany — Payable,Intercompany,Intercompany loan received — SHL,0.0,530405.38,KES,530405.38
JNL/01461,2024-12-02,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — AquaFeed Suppliers,315527.21,0.0,KES,315527.21
JNL/01456,2024-12-03,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,2952131.76,KES,2952131.76
JNL/01466,2024-12-05,AQL,70000008,Depreciation,Depreciation,Depreciation — Harbour Finance,210775.78,0.0,KES,210775.78
JNL/01462,2024-12-10,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — ColdChain Express,521076.07,0.0,KES,521076.07
JNL/01467,2024-12-10,AQL,70000009,Insurance,Admin,Insurance — Meridian Accountants,131689.91,0.0,KES,131689.91
JNL/01458,2024-12-11,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 12/2024,1351177.68,0.0,KES,1351177.68
JNL/01464,2024-12-11,AQL,70000006,Professional Fees,Admin,Professional Fees — ColdChain Express,201473.15,0.0,KES,201473.15
JNL/01457,2024-12-17,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 12/2024,3410715.8,0.0,KES,3410715.8
JNL/01465,2024-12-23,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — ColdChain Express,103647.48,0.0,KES,103647.48
JNL/01455,2024-12-25,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,4773887.32,KES,4773887.32
JNL/01463,2024-12-27,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — AquaFeed Suppliers,204792.17,0.0,KES,204792.17
JNL/01459,2024-12-30,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 12/2024,784959.72,0.0,KES,784959.72
JNL/01460,2024-12-30,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — AquaFeed Suppliers,1209472.61,0.0,KES,1209472.61
JNL/01496,2025-01-06,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 01/2025,3847288.79,0.0,KES,3847288.79
JNL/01500,2025-01-07,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — Harbour Finance,321951.88,0.0,KES,321951.88
JNL/01501,2025-01-08,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — EastAfrica Power,517452.14,0.0,KES,517452.14
JNL/01503,2025-01-13,AQL,70000006,Professional Fees,Admin,Professional Fees — Harbour Finance,207075.73,0.0,KES,207075.73
JNL/01498,2025-01-16,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 01/2025,904806.15,0.0,KES,904806.15
JNL/01494,2025-01-20,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,5127497.47,KES,5127497.47
JNL/01497,2025-01-20,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 01/2025,1450150.93,0.0,KES,1450150.93
JNL/01499,2025-01-21,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — Harbour Finance,1043121.78,0.0,KES,1043121.78
JNL/01505,2025-01-21,AQL,70000008,Depreciation,Depreciation,Depreciation — EastAfrica Power,258414.3,0.0,KES,258414.3
JNL/01495,2025-01-22,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3998020.31,KES,3998020.31
JNL/01502,2025-01-23,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — Harbour Finance,223834.65,0.0,KES,223834.65
JNL/01504,2025-01-24,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — Meridian Accountants,104244.13,0.0,KES,104244.13
JNL/01506,2025-01-27,AQL,70000009,Insurance,Admin,Insurance — EastAfrica Power,161920.13,0.0,KES,161920.13
JNL/01547,2025-02-11,AQL,70000009,Insurance,Admin,Insurance — AquaFeed Suppliers,132094.75,0.0,KES,132094.75
JNL/01535,2025-02-12,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,4652439.07,KES,4652439.07
JNL/01546,2025-02-12,AQL,70000008,Depreciation,Depreciation,Depreciation — LakeView Processing,229246.3,0.0,KES,229246.3
JNL/01536,2025-02-14,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,2930778.79,KES,2930778.79
JNL/01545,2025-02-14,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — LakeView Processing,108966.17,0.0,KES,108966.17
JNL/01538,2025-02-18,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 02/2025,1432565.74,0.0,KES,1432565.74
JNL/01543,2025-02-18,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — LakeView Processing,256764.56,0.0,KES,256764.56
JNL/01534,2025-02-19,AQL,31200001,Intercompany — Payable,Intercompany,Intercompany loan received — SHL,0.0,489778.34,KES,489778.34
JNL/01541,2025-02-20,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — LakeView Processing,352629.66,0.0,KES,352629.66
JNL/01544,2025-02-21,AQL,70000006,Professional Fees,Admin,Professional Fees — Harbour Finance,220034.82,0.0,KES,220034.82
JNL/01539,2025-02-24,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 02/2025,895385.83,0.0,KES,895385.83
JNL/01540,2025-02-25,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — Meridian Accountants,1233350.51,0.0,KES,1233350.51
JNL/01542,2025-02-26,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — Harbour Finance,555698.74,0.0,KES,555698.74
JNL/01537,2025-02-27,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 02/2025,3477931.72,0.0,KES,3477931.72
JNL/01580,2025-03-04,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — Harbour Finance,339359.25,0.0,KES,339359.25
JNL/01575,2025-03-05,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3876936.31,KES,3876936.31
JNL/01578,2025-03-05,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 03/2025,962621.16,0.0,KES,962621.16
JNL/01574,2025-03-06,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,5751314.12,KES,5751314.12
JNL/01581,2025-03-07,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — ColdChain Express,537295.02,0.0,KES,537295.02
JNL/01583,2025-03-12,AQL,70000006,Professional Fees,Admin,Professional Fees — AquaFeed Suppliers,224900.64,0.0,KES,224900.64
