bill_ref,bill_date,entity,vendor,expense_category,account_code,account_name,amount_kes,currency,status
BILL/GCL/08018,2024-01-25,GCL,Frontier Legal,Maintenance,70000004,Repairs & Maintenance,129366.71,KES,Paid
BILL/GCL/08019,2024-01-05,GCL,Unity Bank,Admin,70000006,Professional Fees,98714.79,KES,Paid
BILL/GCL/08020,2024-01-10,GCL,GreenSeed Nurseries,Admin,70000009,Insurance,76632.05,KES,Paid
BILL/GCL/08021,2024-01-08,GCL,GreenSeed Nurseries,Admin,70000010,Sundry Expenses,61948.85,KES,Paid
BILL/SHL/08022,2024-02-07,SHL,ClearBank Ltd,Payroll,70000001,Salaries & Wages,1408017.61,KES,Outstanding
BILL/SHL/08023,2024-02-20,SHL,SunPower Utilities,Facilities,70000002,Rent & Utilities,477391.93,KES,Outstanding
BILL/SHL/08024,2024-02-27,SHL,TransRoute Logistics,Logistics,70000003,Logistics & Transport,665705.7,KES,Paid
BILL/SHL/08025,2024-02-08,SHL,SunPower Utilities,Maintenance,70000004,Repairs & Maintenance,300256.69,KES,Paid
BILL/SHL/08026,2024-02-26,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,249244.82,KES,Outstanding
BILL/SHL/08027,2024-02-08,SHL,ClearBank Ltd,Admin,70000009,Insurance,184220.28,KES,Outstanding
BILL/SHL/08028,2024-02-22,SHL,TransRoute Logistics,Admin,70000010,Sundry Expenses,142050.8,KES,Paid
BILL/AQL/08029,2024-02-08,AQL,ColdChain Express,Payroll,70000001,Salaries & Wages,989118.86,KES,Paid
BILL/AQL/08030,2024-02-28,AQL,EastAfrica Power,Facilities,70000002,Rent & Utilities,356640.03,KES,Paid
BILL/AQL/08031,2024-02-01,AQL,LakeView Processing,Logistics,70000003,Logistics & Transport,543073.7,KES,Paid
BILL/AQL/08032,2024-02-09,AQL,ColdChain Express,Maintenance,70000004,Repairs & Maintenance,238653.22,KES,Paid
BILL/AQL/08033,2024-02-23,AQL,Meridian Accountants,Admin,70000006,Professional Fees,201221.43,KES,Outstanding
BILL/AQL/08034,2024-02-20,AQL,EastAfrica Power,Admin,70000009,Insurance,140816.55,KES,Outstanding
BILL/AQL/08035,2024-02-20,AQL,EastAfrica Power,Admin,70000010,Sundry Expenses,126115.21,KES,Outstanding
BILL/GCL/08036,2024-02-22,GCL,Solar Connect Ltd,Payroll,70000001,Salaries & Wages,610784.41,KES,Paid
BILL/GCL/08037,2024-02-27,GCL,GreenSeed Nurseries,Facilities,70000002,Rent & Utilities,191040.7,KES,Paid
BILL/GCL/08038,2024-02-14,GCL,SurveyTech Africa,Logistics,70000003,Logistics & Transport,255212.38,KES,Paid
BILL/GCL/08039,2024-02-12,GCL,EcoMap Consultants,Maintenance,70000004,Repairs & Maintenance,123123.13,KES,Outstanding
BILL/GCL/08040,2024-02-08,GCL,EcoMap Consultants,Admin,70000006,Professional Fees,108779.66,KES,Paid
BILL/GCL/08041,2024-02-22,GCL,Frontier Legal,Admin,70000009,Insurance,78057.4,KES,Outstanding
BILL/GCL/08042,2024-02-06,GCL,Frontier Legal,Admin,70000010,Sundry Expenses,65231.45,KES,Outstanding
BILL/SHL/08043,2024-03-13,SHL,Apex Packaging Co,Payroll,70000001,Salaries & Wages,1455645.3,KES,Outstanding
BILL/SHL/08044,2024-03-26,SHL,Beekeeper Co-op Central,Facilities,70000002,Rent & Utilities,467809.13,KES,Paid
BILL/SHL/08045,2024-03-21,SHL,ClearBank Ltd,Logistics,70000003,Logistics & Transport,727483.24,KES,Outstanding
BILL/SHL/08046,2024-03-20,SHL,TransRoute Logistics,Maintenance,70000004,Repairs & Maintenance,326835.44,KES,Paid
BILL/SHL/08047,2024-03-29,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,279924.98,KES,Paid
BILL/SHL/08048,2024-03-04,SHL,Beekeeper Co-op Central,Admin,70000009,Insurance,210771.88,KES,Paid
BILL/SHL/08049,2024-03-18,SHL,Beekeeper Co-op Central,Admin,70000010,Sundry Expenses,134425.12,KES,Paid
BILL/AQL/08050,2024-03-06,AQL,EastAfrica Power,Payroll,70000001,Salaries & Wages,1021539.36,KES,Paid
BILL/AQL/08051,2024-03-27,AQL,ColdChain Express,Facilities,70000002,Rent & Utilities,306871.65,KES,Outstanding
BILL/AQL/08052,2024-03-28,AQL,LakeView Processing,Logistics,70000003,Logistics & Transport,540475.63,KES,Outstanding
BILL/AQL/08053,2024-03-08,AQL,EastAfrica Power,Maintenance,70000004,Repairs & Maintenance,254162.34,KES,Outstanding
BILL/AQL/08054,2024-03-11,AQL,ColdChain Express,Admin,70000006,Professional Fees,190502.46,KES,Paid
BILL/AQL/08055,2024-03-27,AQL,AquaFeed Suppliers,Admin,70000009,Insurance,159860.8,KES,Paid
BILL/AQL/08056,2024-03-13,AQL,Meridian Accountants,Admin,70000010,Sundry Expenses,103757.84,KES,Outstanding
BILL/GCL/08057,2024-03-08,GCL,Frontier Legal,Payroll,70000001,Salaries & Wages,671392.91,KES,Paid
BILL/GCL/08058,2024-03-14,GCL,Unity Bank,Facilities,70000002,Rent & Utilities,185162.77,KES,Paid
BILL/GCL/08059,2024-03-13,GCL,Frontier Legal,Logistics,70000003,Logistics & Transport,260450.21,KES,Outstanding
BILL/GCL/08060,2024-03-06,GCL,Unity Bank,Maintenance,70000004,Repairs & Maintenance,127565.98,KES,Paid
BILL/GCL/08061,2024-03-04,GCL,Solar Connect Ltd,Admin,70000006,Professional Fees,105462.15,KES,Paid
BILL/GCL/08062,2024-03-07,GCL,Unity Bank,Admin,70000009,Insurance,75869.56,KES,Outstanding
BILL/GCL/08063,2024-03-12,GCL,SurveyTech Africa,Admin,70000010,Sundry Expenses,61039.97,KES,Paid
BILL/SHL/08064,2024-04-15,SHL,ClearBank Ltd,Payroll,70000001,Salaries & Wages,1549016.66,KES,Paid
BILL/SHL/08065,2024-04-17,SHL,ClearBank Ltd,Facilities,70000002,Rent & Utilities,460285.81,KES,Paid
BILL/SHL/08066,2024-04-25,SHL,TransRoute Logistics,Logistics,70000003,Logistics & Transport,653024.27,KES,Outstanding
BILL/SHL/08067,2024-04-29,SHL,Beekeeper Co-op Central,Maintenance,70000004,Repairs & Maintenance,312049.95,KES,Paid
BILL/SHL/08068,2024-04-19,SHL,SunPower Utilities,Admin,70000006,Professional Fees,279799.06,KES,Paid
BILL/SHL/08069,2024-04-03,SHL,ClearBank Ltd,Admin,70000009,Insurance,179631.65,KES,Paid
BILL/SHL/08070,2024-04-11,SHL,Nairobi Legal Partners,Admin,70000010,Sundry Expenses,148846.27,KES,Outstanding
BILL/AQL/08071,2024-04-19,AQL,LakeView Processing,Payroll,70000001,Salaries & Wages,1001996.43,KES,Paid
BILL/AQL/08072,2024-04-25,AQL,LakeView Processing,Facilities,70000002,Rent & Utilities,321369.59,KES,Paid
BILL/AQL/08073,2024-04-03,AQL,Harbour Finance,Logistics,70000003,Logistics & Transport,544690.44,KES,Outstanding
BILL/AQL/08074,2024-04-29,AQL,EastAfrica Power,Maintenance,70000004,Repairs & Maintenance,214262.49,KES,Outstanding
BILL/AQL/08075,2024-04-16,AQL,Harbour Finance,Admin,70000006,Professional Fees,204225.96,KES,Paid
BILL/AQL/08076,2024-04-17,AQL,Meridian Accountants,Admin,70000009,Insurance,152274.81,KES,Paid
BILL/AQL/08077,2024-04-09,AQL,EastAfrica Power,Admin,70000010,Sundry Expenses,105055.45,KES,Paid
BILL/GCL/08078,2024-04-15,GCL,EcoMap Consultants,Payroll,70000001,Salaries & Wages,617822.2,KES,Paid
BILL/GCL/08079,2024-04-24,GCL,EcoMap Consultants,Facilities,70000002,Rent & Utilities,180782.41,KES,Outstanding
BILL/GCL/08080,2024-04-25,GCL,SurveyTech Africa,Logistics,70000003,Logistics & Transport,319997.51,KES,Paid
BILL/GCL/08081,2024-04-30,GCL,EcoMap Consultants,Maintenance,70000004,Repairs & Maintenance,127494.52,KES,Paid
BILL/GCL/08082,2024-04-04,GCL,GreenSeed Nurseries,Admin,70000006,Professional Fees,120225.08,KES,Outstanding
BILL/GCL/08083,2024-04-01,GCL,Solar Connect Ltd,Admin,70000009,Insurance,80964.35,KES,Paid
BILL/GCL/08084,2024-04-19,GCL,SurveyTech Africa,Admin,70000010,Sundry Expenses,56986.82,KES,Paid
BILL/SHL/08085,2024-05-20,SHL,Apex Packaging Co,Payroll,70000001,Salaries & Wages,1490144.94,KES,Paid
BILL/SHL/08086,2024-05-07,SHL,ClearBank Ltd,Facilities,70000002,Rent & Utilities,505401.58,KES,Outstanding
BILL/SHL/08087,2024-05-08,SHL,Beekeeper Co-op Central,Logistics,70000003,Logistics & Transport,700680.6,KES,Paid
BILL/SHL/08088,2024-05-29,SHL,Apex Packaging Co,Maintenance,70000004,Repairs & Maintenance,327288.02,KES,Paid
BILL/SHL/08089,2024-05-03,SHL,Beekeeper Co-op Central,Admin,70000006,Professional Fees,290527.74,KES,Paid
BILL/SHL/08090,2024-05-29,SHL,ClearBank Ltd,Admin,70000009,Insurance,177600.44,KES,Paid
BILL/SHL/08091,2024-05-17,SHL,Apex Packaging Co,Admin,70000010,Sundry Expenses,141495.4,KES,Outstanding
BILL/AQL/08092,2024-05-31,AQL,LakeView Processing,Payroll,70000001,Salaries & Wages,1131352.25,KES,Paid
BILL/AQL/08093,2024-05-29,AQL,EastAfrica Power,Facilities,70000002,Rent & Utilities,340569.1,KES,Paid
BILL/AQL/08094,2024-05-06,AQL,Harbour Finance,Logistics,70000003,Logistics & Transport,564577.82,KES,Paid
BILL/AQL/08095,2024-05-22,AQL,ColdChain Express,Maintenance,70000004,Repairs & Maintenance,254273.29,KES,Paid
BILL/AQL/08096,2024-05-27,AQL,ColdChain Express,Admin,70000006,Professional Fees,195858.69,KES,Paid
BILL/AQL/08097,2024-05-30,AQL,Meridian Accountants,Admin,70000009,Insurance,135843.1,KES,Paid
BILL/AQL/08098,2024-05-01,AQL,AquaFeed Suppliers,Admin,70000010,Sundry Expenses,123809.83,KES,Outstanding
BILL/GCL/08099,2024-05-06,GCL,EcoMap Consultants,Payroll,70000001,Salaries & Wages,575139.7,KES,Paid
BILL/GCL/08100,2024-05-07,GCL,Unity Bank,Facilities,70000002,Rent & Utilities,206866.07,KES,Paid
BILL/GCL/08101,2024-05-10,GCL,GreenSeed Nurseries,Logistics,70000003,Logistics & Transport,282728.79,KES,Paid
BILL/GCL/08102,2024-05-06,GCL,GreenSeed Nurseries,Maintenance,70000004,Repairs & Maintenance,133147.13,KES,Paid
BILL/GCL/08103,2024-05-16,GCL,EcoMap Consultants,Admin,70000006,Professional Fees,101127.99,KES,Paid
BILL/GCL/08104,2024-05-17,GCL,SurveyTech Africa,Admin,70000009,Insurance,82378.1,KES,Paid
BILL/GCL/08105,2024-05-30,GCL,Unity Bank,Admin,70000010,Sundry Expenses,63259.15,KES,Paid
BILL/SHL/08106,2024-06-25,SHL,Apex Packaging Co,Payroll,70000001,Salaries & Wages,1474015.03,KES,Outstanding
BILL/SHL/08107,2024-06-28,SHL,Apex Packaging Co,Facilities,70000002,Rent & Utilities,419667.47,KES,Outstanding
BILL/SHL/08108,2024-06-21,SHL,TransRoute Logistics,Logistics,70000003,Logistics & Transport,722885.19,KES,Paid
BILL/SHL/08109,2024-06-11,SHL,ClearBank Ltd,Maintenance,70000004,Repairs & Maintenance,330469.67,KES,Outstanding
BILL/SHL/08110,2024-06-07,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,247916.67,KES,Paid
BILL/SHL/08111,2024-06-21,SHL,Nairobi Legal Partners,Admin,70000009,Insurance,171564.58,KES,Paid
BILL/SHL/08112,2024-06-06,SHL,Apex Packaging Co,Admin,70000010,Sundry Expenses,134622.34,KES,Paid
BILL/AQL/08113,2024-06-27,AQL,AquaFeed Suppliers,Payroll,70000001,Salaries & Wages,1139548.62,KES,Outstanding
BILL/AQL/08114,2024-06-18,AQL,EastAfrica Power,Facilities,70000002,Rent & Utilities,356944.49,KES,Paid
BILL/AQL/08115,2024-06-07,AQL,LakeView Processing,Logistics,70000003,Logistics & Transport,527850.25,KES,Paid
BILL/AQL/08116,2024-06-05,AQL,LakeView Processing,Maintenance,70000004,Repairs & Maintenance,217074.81,KES,Paid
BILL/AQL/08117,2024-06-28,AQL,Meridian Accountants,Admin,70000006,Professional Fees,197684.94,KES,Outstanding
BILL/AQL/08118,2024-06-28,AQL,Harbour Finance,Admin,70000009,Insurance,148287.78,KES,Paid
BILL/AQL/08119,2024-06-03,AQL,Harbour Finance,Admin,70000010,Sundry Expenses,115909.99,KES,Outstanding
BILL/GCL/08120,2024-06-11,GCL,EcoMap Consultants,Payroll,70000001,Salaries & Wages,679177.66,KES,Outstanding
BILL/GCL/08121,2024-06-25,GCL,Frontier Legal,Facilities,70000002,Rent & Utilities,175247.14,KES,Paid
BILL/GCL/08122,2024-06-19,GCL,Unity Bank,Logistics,70000003,Logistics & Transport,301488.39,KES,Paid
BILL/GCL/08123,2024-06-04,GCL,Unity Bank,Maintenance,70000004,Repairs & Maintenance,125060.67,KES,Paid
BILL/GCL/08124,2024-06-19,GCL,Solar Connect Ltd,Admin,70000006,Professional Fees,110070.01,KES,Paid
BILL/GCL/08125,2024-06-24,GCL,SurveyTech Africa,Admin,70000009,Insurance,84177.88,KES,Outstanding
BILL/GCL/08126,2024-06-05,GCL,Frontier Legal,Admin,70000010,Sundry Expenses,66955.82,KES,Outstanding
BILL/SHL/08127,2024-07-16,SHL,Apex Packaging Co,Payroll,70000001,Salaries & Wages,1614249.68,KES,Paid
BILL/SHL/08128,2024-07-17,SHL,TransRoute Logistics,Facilities,70000002,Rent & Utilities,415331.47,KES,Outstanding
BILL/SHL/08129,2024-07-16,SHL,SunPower Utilities,Logistics,70000003,Logistics & Transport,619010.64,KES,Outstanding
BILL/SHL/08130,2024-07-08,SHL,ClearBank Ltd,Maintenance,70000004,Repairs & Maintenance,320367.76,KES,Paid
BILL/SHL/08131,2024-07-01,SHL,Apex Packaging Co,Admin,70000006,Professional Fees,271004.22,KES,Outstanding
BILL/SHL/08132,2024-07-01,SHL,Apex Packaging Co,Admin,70000009,Insurance,179701.73,KES,Paid
BILL/SHL/08133,2024-07-02,SHL,TransRoute Logistics,Admin,70000010,Sundry Expenses,136657.22,KES,Paid
BILL/AQL/08134,2024-07-23,AQL,EastAfrica Power,Payroll,70000001,Salaries & Wages,992414.89,KES,Paid
BILL/AQL/08135,2024-07-31,AQL,Harbour Finance,Facilities,70000002,Rent & Utilities,380922.82,KES,Outstanding
BILL/AQL/08136,2024-07-18,AQL,EastAfrica Power,Logistics,70000003,Logistics & Transport,483397.14,KES,Outstanding
BILL/AQL/08137,2024-07-03,AQL,EastAfrica Power,Maintenance,70000004,Repairs & Maintenance,222165.33,KES,Outstanding
BILL/AQL/08138,2024-07-24,AQL,Meridian Accountants,Admin,70000006,Professional Fees,189682.7,KES,Outstanding
BILL/AQL/08139,2024-07-11,AQL,ColdChain Express,Admin,70000009,Insurance,139953.87,KES,Paid
BILL/AQL/08140,2024-07-03,AQL,LakeView Processing,Admin,70000010,Sundry Expenses,104012.76,KES,Outstanding
BILL/GCL/08141,2024-07-05,GCL,SurveyTech Africa,Payroll,70000001,Salaries & Wages,610781.2,KES,Outstanding
BILL/GCL/08142,2024-07-17,GCL,EcoMap Consultants,Facilities,70000002,Rent & Utilities,172075.59,KES,Outstanding
BILL/GCL/08143,2024-07-29,GCL,Unity Bank,Logistics,70000003,Logistics & Transport,308760.64,KES,Outstanding
BILL/GCL/08144,2024-07-03,GCL,Unity Bank,Maintenance,70000004,Repairs & Maintenance,119819.64,KES,Paid
BILL/GCL/08145,2024-07-18,GCL,Unity Bank,Admin,70000006,Professional Fees,113075.52,KES,Outstanding
BILL/GCL/08146,2024-07-02,GCL,SurveyTech Africa,Admin,70000009,Insurance,87297.52,KES,Paid
BILL/GCL/08147,2024-07-18,GCL,GreenSeed Nurseries,Admin,70000010,Sundry Expenses,66317.48,KES,Paid
BILL/SHL/08148,2024-08-28,SHL,SunPower Utilities,Payroll,70000001,Salaries & Wages,1455421.85,KES,Outstanding
BILL/SHL/08149,2024-08-14,SHL,Apex Packaging Co,Facilities,70000002,Rent & Utilities,436775.09,KES,Outstanding
BILL/SHL/08150,2024-08-30,SHL,ClearBank Ltd,Logistics,70000003,Logistics & Transport,656585.59,KES,Outstanding
BILL/SHL/08151,2024-08-06,SHL,TransRoute Logistics,Maintenance,70000004,Repairs & Maintenance,316365.77,KES,Paid
BILL/SHL/08152,2024-08-07,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,297545.86,KES,Outstanding
BILL/SHL/08153,2024-08-08,SHL,Apex Packaging Co,Admin,70000009,Insurance,197379.87,KES,Paid
BILL/SHL/08154,2024-08-23,SHL,Beekeeper Co-op Central,Admin,70000010,Sundry Expenses,154107.94,KES,Outstanding
BILL/AQL/08155,2024-08-13,AQL,Harbour Finance,Payroll,70000001,Salaries & Wages,1163002.45,KES,Paid
BILL/AQL/08156,2024-08-07,AQL,LakeView Processing,Facilities,70000002,Rent & Utilities,345093.97,KES,Outstanding
BILL/AQL/08157,2024-08-06,AQL,LakeView Processing,Logistics,70000003,Logistics & Transport,466894.63,KES,Paid
BILL/AQL/08158,2024-08-20,AQL,LakeView Processing,Maintenance,70000004,Repairs & Maintenance,235468.69,KES,Paid
BILL/AQL/08159,2024-08-05,AQL,Meridian Accountants,Admin,70000006,Professional Fees,225295.5,KES,Paid
BILL/AQL/08160,2024-08-27,AQL,Harbour Finance,Admin,70000009,Insurance,133700.54,KES,Outstanding
BILL/AQL/08161,2024-08-22,AQL,AquaFeed Suppliers,Admin,70000010,Sundry Expenses,121289.74,KES,Paid
BILL/GCL/08162,2024-08-16,GCL,Frontier Legal,Payroll,70000001,Salaries & Wages,564360.24,KES,Paid
BILL/GCL/08163,2024-08-27,GCL,Solar Connect Ltd,Facilities,70000002,Rent & Utilities,193650.94,KES,Paid
BILL/GCL/08164,2024-08-08,GCL,EcoMap Consultants,Logistics,70000003,Logistics & Transport,260122.28,KES,Paid
BILL/GCL/08165,2024-08-27,GCL,GreenSeed Nurseries,Maintenance,70000004,Repairs & Maintenance,126475.4,KES,Outstanding
BILL/GCL/08166,2024-08-06,GCL,Unity Bank,Admin,70000006,Professional Fees,118885.67,KES,Paid
BILL/GCL/08167,2024-08-23,GCL,Unity Bank,Admin,70000009,Insurance,77073.37,KES,Paid
BILL/GCL/08168,2024-08-01,GCL,GreenSeed Nurseries,Admin,70000010,Sundry Expenses,66533.04,KES,Paid
BILL/SHL/08169,2024-09-23,SHL,Apex Packaging Co,Payroll,70000001,Salaries & Wages,1546391.14,KES,Paid
BILL/SHL/08170,2024-09-06,SHL,SunPower Utilities,Facilities,70000002,Rent & Utilities,502750.34,KES,Paid
BILL/SHL/08171,2024-09-25,SHL,Apex Packaging Co,Logistics,70000003,Logistics & Transport,640438.84,KES,Outstanding
BILL/SHL/08172,2024-09-30,SHL,ClearBank Ltd,Maintenance,70000004,Repairs & Maintenance,296654.09,KES,Paid
BILL/SHL/08173,2024-09-16,SHL,TransRoute Logistics,Admin,70000006,Professional Fees,243810.24,KES,Paid
BILL/SHL/08174,2024-09-16,SHL,SunPower Utilities,Admin,70000009,Insurance,212457.25,KES,Paid
BILL/SHL/08175,2024-09-26,SHL,Apex Packaging Co,Admin,70000010,Sundry Expenses,167577.0,KES,Paid
BILL/AQL/08176,2024-09-24,AQL,AquaFeed Suppliers,Payroll,70000001,Salaries & Wages,1112567.86,KES,Outstanding
BILL/AQL/08177,2024-09-09,AQL,AquaFeed Suppliers,Facilities,70000002,Rent & Utilities,376566.62,KES,Paid
BILL/AQL/08178,2024-09-03,AQL,Meridian Accountants,Logistics,70000003,Logistics & Transport,524625.62,KES,Paid
BILL/AQL/08179,2024-09-20,AQL,AquaFeed Suppliers,Maintenance,70000004,Repairs & Maintenance,238881.25,KES,Paid
BILL/AQL/08180,2024-09-16,AQL,LakeView Processing,Admin,70000006,Professional Fees,182982.14,KES,Paid
BILL/AQL/08181,2024-09-20,AQL,Meridian Accountants,Admin,70000009,Insurance,153883.41,KES,Paid
BILL/AQL/08182,2024-09-10,AQL,LakeView Processing,Admin,70000010,Sundry Expenses,105635.54,KES,Paid
BILL/GCL/08183,2024-09-13,GCL,Frontier Legal,Payroll,70000001,Salaries & Wages,655579.79,KES,Outstanding
BILL/GCL/08184,2024-09-11,GCL,Frontier Legal,Facilities,70000002,Rent & Utilities,204995.85,KES,Paid
BILL/GCL/08185,2024-09-26,GCL,EcoMap Consultants,Logistics,70000003,Logistics & Transport,302428.43,KES,Paid
BILL/GCL/08186,2024-09-25,GCL,SurveyTech Africa,Maintenance,70000004,Repairs & Maintenance,113750.85,KES,Paid
BILL/GCL/08187,2024-09-02,GCL,SurveyTech Africa,Admin,70000006,Professional Fees,106708.09,KES,Paid
BILL/GCL/08188,2024-09-11,GCL,GreenSeed Nurseries,Admin,70000009,Insurance,75451.76,KES,Outstanding
BILL/GCL/08189,2024-09-30,GCL,EcoMap Consultants,Admin,70000010,Sundry Expenses,61851.7,KES,Outstanding
BILL/SHL/08190,2024-10-15,SHL,Apex Packaging Co,Payroll,70000001,Salaries & Wages,1301093.47,KES,Paid
BILL/SHL/08191,2024-10-17,SHL,ClearBank Ltd,Facilities,70000002,Rent & Utilities,503820.66,KES,Outstanding
BILL/SHL/08192,2024-10-14,SHL,ClearBank Ltd,Logistics,70000003,Logistics & Transport,692832.18,KES,Paid
BILL/SHL/08193,2024-10-23,SHL,TransRoute Logistics,Maintenance,70000004,Repairs & Maintenance,289811.05,KES,Paid
BILL/SHL/08194,2024-10-22,SHL,SunPower Utilities,Admin,70000006,Professional Fees,259423.3,KES,Paid
BILL/SHL/08195,2024-10-31,SHL,TransRoute Logistics,Admin,70000009,Insurance,187592.44,KES,Paid
BILL/SHL/08196,2024-10-02,SHL,Apex Packaging Co,Admin,70000010,Sundry Expenses,155669.68,KES,Paid
BILL/AQL/08197,2024-10-18,AQL,Meridian Accountants,Payroll,70000001,Salaries & Wages,1106146.9,KES,Outstanding
BILL/AQL/08198,2024-10-21,AQL,LakeView Processing,Facilities,70000002,Rent & Utilities,383027.62,KES,Outstanding
BILL/AQL/08199,2024-10-25,AQL,AquaFeed Suppliers,Logistics,70000003,Logistics & Transport,521619.59,KES,Paid
BILL/AQL/08200,2024-10-07,AQL,Meridian Accountants,Maintenance,70000004,Repairs & Maintenance,259403.36,KES,Outstanding
BILL/AQL/08201,2024-10-03,AQL,EastAfrica Power,Admin,70000006,Professional Fees,220121.42,KES,Outstanding
BILL/AQL/08202,2024-10-02,AQL,Meridian Accountants,Admin,70000009,Insurance,134856.17,KES,Paid
BILL/AQL/08203,2024-10-07,AQL,Harbour Finance,Admin,70000010,Sundry Expenses,127987.77,KES,Paid
BILL/GCL/08204,2024-10-11,GCL,EcoMap Consultants,Payroll,70000001,Salaries & Wages,552020.18,KES,Paid
BILL/GCL/08205,2024-10-31,GCL,Solar Connect Ltd,Facilities,70000002,Rent & Utilities,206628.08,KES,Outstanding
BILL/GCL/08206,2024-10-15,GCL,EcoMap Consultants,Logistics,70000003,Logistics & Transport,279748.68,KES,Paid
BILL/GCL/08207,2024-10-10,GCL,EcoMap Consultants,Maintenance,70000004,Repairs & Maintenance,139611.37,KES,Paid
BILL/GCL/08208,2024-10-07,GCL,SurveyTech Africa,Admin,70000006,Professional Fees,121893.36,KES,Outstanding
BILL/GCL/08209,2024-10-07,GCL,GreenSeed Nurseries,Admin,70000009,Insurance,85873.77,KES,Paid
BILL/GCL/08210,2024-10-21,GCL,SurveyTech Africa,Admin,70000010,Sundry Expenses,68454.87,KES,Paid
BILL/SHL/08211,2024-11-20,SHL,Beekeeper Co-op Central,Payroll,70000001,Salaries & Wages,1376309.6,KES,Paid
BILL/SHL/08212,2024-11-18,SHL,Nairobi Legal Partners,Facilities,70000002,Rent & Utilities,410135.81,KES,Paid
BILL/SHL/08213,2024-11-14,SHL,SunPower Utilities,Logistics,70000003,Logistics & Transport,668073.23,KES,Paid
BILL/SHL/08214,2024-11-06,SHL,Beekeeper Co-op Central,Maintenance,70000004,Repairs & Maintenance,280180.35,KES,Paid
BILL/SHL/08215,2024-11-14,SHL,TransRoute Logistics,Admin,70000006,Professional Fees,278445.68,KES,Outstanding
BILL/SHL/08216,2024-11-28,SHL,ClearBank Ltd,Admin,70000009,Insurance,182982.15,KES,Paid
BILL/SHL/08217,2024-11-15,SHL,TransRoute Logistics,Admin,70000010,Sundry Expenses,169350.26,KES,Paid
BILL/AQL/08218,2024-11-12,AQL,AquaFeed Suppliers,Payroll,70000001,Salaries & Wages,1139284.3,KES,Paid
BILL/AQL/08219,2024-11-25,AQL,EastAfrica Power,Facilities,70000002,Rent & Utilities,374933.58,KES,Paid
BILL/AQL/08220,2024-11-14,AQL,Harbour Finance,Logistics,70000003,Logistics & Transport,475962.69,KES,Paid
BILL/AQL/08221,2024-11-01,AQL,ColdChain Express,Maintenance,70000004,Repairs & Maintenance,252156.97,KES,Paid
BILL/AQL/08222,2024-11-26,AQL,EastAfrica Power,Admin,70000006,Professional Fees,223596.73,KES,Outstanding
BILL/AQL/08223,2024-11-12,AQL,Meridian Accountants,Admin,70000009,Insurance,144549.75,KES,Paid
BILL/AQL/08224,2024-11-06,AQL,EastAfrica Power,Admin,70000010,Sundry Expenses,118958.08,KES,Paid
BILL/GCL/08225,2024-11-01,GCL,GreenSeed Nurseries,Payroll,70000001,Salaries & Wages,646641.05,KES,Paid
BILL/GCL/08226,2024-11-07,GCL,SurveyTech Africa,Facilities,70000002,Rent & Utilities,177016.56,KES,Paid
